iter	Passed	Remaining
1090	1946	9724
1091	1947	9721
1092	1949	9717
1093	1950	9714
1094	1952	9711
1095	1953	9708
1096	1955	9706
1097	1957	9703
1098	1958	9701
1099	1960	9697
1100	1961	9694
1101	1963	9691
1102	1964	9689
1103	1966	9686
1104	1967	9682
1105	1969	9678
1106	1970	9675
1107	1972	9674
1108	1974	9671
1109	1975	9668
1110	1977	9665
1111	1978	9661
1112	1980	9658
1113	1981	9655
1114	1983	9651
1115	1984	9647
1116	1985	9645
1117	1987	9641
1118	1989	9639
1119	1990	9637
1120	1992	9634
1121	1993	9631
1122	1995	9628
1123	1996	9625
1124	1998	9622
1125	2000	9620
1126	2001	9617
1127	2003	9614
1128	2004	9610
1129	2006	9608
1130	2008	9606
1131	2009	9604
1132	2011	9602
1133	2012	9598
1134	2014	9595
1135	2015	9592
1136	2017	9589
1137	2019	9588
1138	2020	9586
1139	2022	9582
1140	2023	9579
1141	2025	9576
1142	2026	9573
1143	2028	9571
1144	2030	9568
1145	2031	9566
1146	2033	9563
1147	2034	9559
1148	2036	9556
1149	2038	9555
1150	2039	9553
1151	2041	9551
1152	2042	9547
1153	2044	9543
1154	2045	9540
1155	2047	9539
1156	2049	9536
1157	2050	9535
1158	2052	9533
1159	2054	9530
1160	2056	9530
1161	2057	9527
1162	2059	9523
1163	2060	9521
1164	2062	9518
1165	2063	9515
1166	2065	9514
1167	2068	9515
1168	2069	9513
1169	2071	9509
1170	2072	9506
1171	2074	9504
1172	2075	9501
1173	2077	9499
1174	2079	9496
1175	2080	9494
1176	2082	9490
1177	2083	9489
1178	2085	9485
1179	2088	9489
1180	2090	9488
1181	2091	9484
1182	2093	9485
1183	2095	9482
1184	2097	9481
1185	2099	9479
1186	2100	9477
1187	2102	9476
1188	2104	9475
1189	2106	9471
1190	2107	9470
1191	2109	9466
1192	2111	9468
1193	2113	9468
1194	2116	9470
1195	2117	9467
1196	2119	9464
1197	2121	9461
1198	2122	9459
1199	2124	9457
1200	2127	9459
1201	2129	9458
1202	2130	9456
1203	2132	9454
1204	2133	9450
1205	2135	9449
1206	2136	9444
1207	2137	9440
1208	2139	9439
1209	2141	9435
1210	2143	9435
1211	2145	9433
1212	2147	9433
1213	2148	9430
1214	2150	9427
1215	2151	9423
1216	2153	9420
1217	2154	9417
1218	2155	9414
1219	2157	9413
1220	2159	9410
1221	2160	9407
1222	2162	9405
1223	2164	9402
1224	2165	9400
1225	2167	9397
1226	2168	9394
1227	2171	9394
1228	2172	9393
1229	2174	9391
1230	2176	9389
1231	2177	9386
1232	2179	9383
1233	2180	9380
1234	2182	9376
1235	2183	9373
1236	2185	9373
1237	2186	9369
1238	2188	9366
1239	2190	9364
1240	2191	9362
1241	2193	9359
1242	2195	9358
1243	2196	9355
1244	2198	9353
1245	2199	9349
1246	2201	9347
1247	2203	9345
1248	2205	9344
1249	2206	9341
1250	2207	9338
1251	2209	9335
1252	2210	9332
1253	2212	9330
1254	2214	9327
1255	2215	9324
1256	2217	9321
1257	2218	9318
1258	2220	9315
1259	2221	9313
1260	2223	9311
1261	2224	9308
1262	2226	9305
1263	2227	9301
1264	2228	9298
1265	2230	9295
1266	2232	9293
1267	2233	9291
1268	2235	9289
1269	2236	9285
1270	2238	9282
1271	2239	9280
1272	2241	9277
1273	2242	9274
1274	2244	9271
1275	2245	9267
1276	2247	9264
1277	2248	9262
1278	2250	9259
1279	2252	9258
1280	2253	9257
1281	2255	9254
1282	2257	9251
1283	2258	9249
1284	2260	9247
1285	2261	9244
1286	2263	9241
1287	2264	9238
1288	2266	9236
1289	2268	9234
1290	2269	9232
1291	2271	9230
1292	2273	9227
1293	2274	9224
1294	2276	9222
1295	2277	9219
1296	2279	9216
1297	2280	9214
1298	2282	9211
1299	2283	9208
1300	2285	9205
1301	2286	9203
1302	2288	9200
1303	2289	9198
1304	2291	9195
1305	2293	9193
1306	2294	9190
1307	2298	9195
1308	2300	9195
1309	2301	9193
1310	2303	9190
1311	2304	9187
1312	2306	9184
1313	2307	9181
1314	2309	9178
1315	2310	9176
1316	2312	9174
1317	2314	9173
1318	2315	9170
1319	2317	9167
1320	2318	9164
1321	2320	9160
1322	2321	9157
1323	2322	9153
1324	2324	9150
1325	2325	9149
1326	2327	9146
1327	2329	9145
1328	2330	9143
1329	2332	9140
1330	2334	9138
1331	2335	9135
1332	2337	9132
1333	2338	9129
1334	2340	9127
1335	2341	9124
1336	2343	9122
1337	2344	9120
1338	2346	9117
1339	2347	9114
1340	2349	9112
1341	2351	9110
1342	2352	9108
1343	2354	9105
1344	2356	9107
1345	2358	9106
1346	2360	9104
1347	2362	9101
1348	2364	9100
1349	2365	9097
1350	2367	9095
1351	2368	9093
1352	2370	9091
1353	2372	9088
1354	2373	9086
1355	2375	9083
1356	2376	9081
1357	2378	9079
1358	2380	9077
1359	2381	9075
1360	2383	9072
